# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Wed Sep 11 07:04:14 2024
#
# User preference: *
#
# COLUMN kepid:          KepID
# COLUMN kepoi_name:     KOI Name
# COLUMN kepler_name:    Kepler Name
# COLUMN koi_disposition: Exoplanet Archive Disposition
# COLUMN koi_pdisposition: Disposition Using Kepler Data
# COLUMN koi_score:      Disposition Score
# COLUMN koi_period:     Orbital Period [days]
# COLUMN koi_time0bk:    Transit Epoch [BKJD]
# COLUMN koi_eccen:      Eccentricity
# COLUMN koi_impact:     Impact Parameter
# COLUMN koi_duration:   Transit Duration [hrs]
# COLUMN koi_depth:      Transit Depth [ppm]
# COLUMN koi_ror:        Planet-Star Radius Ratio
# COLUMN koi_srho:       Fitted Stellar Density [g/cm**3]
# COLUMN koi_fittype:    Planetary Fit Type
# COLUMN koi_prad:       Planetary Radius [Earth radii]
# COLUMN koi_sma:        Orbit Semi-Major Axis [au]
# COLUMN koi_incl:       Inclination [deg]
# COLUMN koi_teq:        Equilibrium Temperature [K]
# COLUMN koi_insol:      Insolation Flux [Earth flux]
# COLUMN koi_model_snr:  Transit Signal-to-Noise
# COLUMN koi_count:      Number of Planets
# COLUMN koi_num_transits: Number of Transits
# COLUMN koi_tce_plnt_num: TCE Planet Number
# COLUMN koi_tce_delivname: TCE Delivery
# COLUMN koi_steff:      Stellar Effective Temperature [K]
# COLUMN koi_slogg:      Stellar Surface Gravity [log10(cm/s**2)]
# COLUMN koi_srad:       Stellar Radius [Solar radii]
# COLUMN ra:             RA [decimal degrees]
# COLUMN dec:            Dec [decimal degrees]
# COLUMN koi_kepmag:     Kepler-band [mag]
#
loc_rowid,kepid,kepoi_name,kepler_name,koi_disposition,koi_pdisposition,koi_score,koi_period,koi_time0bk,koi_eccen,koi_impact,koi_duration,koi_depth,koi_ror,koi_srho,koi_fittype,koi_prad,koi_sma,koi_incl,koi_teq,koi_insol,koi_model_snr,koi_count,koi_num_transits,koi_tce_plnt_num,koi_tce_delivname,koi_steff,koi_slogg,koi_srad,ra,dec,koi_kepmag
1097,6543893,K01627.02,Kepler-913 c,CONFIRMED,CANDIDATE,0.9970,5.939190410,353.7553700,0,0.1070,2.28500,4.2450e+02,0.018858,4.37512,LS+MCMC,3.70,0.0699,89.70,1357.0,801.92,15.90,3,184,2,q1_q17_dr25_tce,6068.00,4.040,1.7970,297.583130,41.952431,15.767
1098,6975129,K01628.01,Kepler-312 c,CONFIRMED,CANDIDATE,1.0000,19.747339830,147.1055300,0,0.5950,3.44440,4.8070e+02,0.020906,2.33083,LS+MCMC,2.62,0.1531,89.06,754.0,76.57,47.10,3,66,1,q1_q17_dr25_tce,6243.00,4.406,1.1490,298.395750,42.459751,12.949
1099,11391018,K00189.01,Kepler-486 b,CONFIRMED,CANDIDATE,0.9820,30.360445359,148.0915460,0,0.3590,6.01340,2.1125e+04,0.131544,1.45568,LS+MCMC,10.99,0.1725,89.50,459.0,10.47,1126.20,1,35,1,q1_q17_dr25_tce,4939.00,4.541,0.7650,284.879970,49.266991,14.388
1100,8685497,K01629.01,Kepler-914 b,CONFIRMED,CANDIDATE,0.9950,4.409667500,132.4500300,0,0.8140,2.14180,1.3270e+02,0.011829,0.83043,LS+MCMC,1.51,0.0544,85.07,1192.0,476.94,26.40,1,306,1,q1_q17_dr25_tce,5836.00,4.347,1.1660,290.411990,44.899330,13.574
1101,4365645,K01738.01,Kepler-1671 b,CONFIRMED,CANDIDATE,0.9990,4.167878140,135.2833400,0,0.1680,2.21360,1.6810e+02,0.011622,3.22623,LS+MCMC,1.07,0.0491,89.33,962.0,202.48,32.90,1,325,1,q1_q17_dr25_tce,5251.00,4.541,0.8470,291.748380,39.446880,13.293
1102,7199906,K01739.01,,CANDIDATE,CANDIDATE,,220.656512530,172.4278591,,,7.82000,,,,none,,,,,,,1,,,,,,,291.650090,42.700779,15.129
1103,8197343,K01746.01,Kepler-946 b,CONFIRMED,CANDIDATE,0.9980,11.791612340,134.5406400,0,0.0340,3.03600,4.1540e+02,0.018403,3.74820,LS+MCMC,2.41,0.1002,89.94,857.0,127.75,20.70,1,114,1,q1_q17_dr25_tce,5619.00,4.264,1.1990,300.929600,44.028790,14.941
1104,7032421,K01747.01,,FALSE POSITIVE,FALSE POSITIVE,1.0000,20.558483880,133.0040100,0,1.3340,1.44900,6.7730e+02,0.361005,1.10980,LS+MCMC,36.90,0.1457,87.38,624.0,35.76,20.80,2,67,1,q1_q17_dr25_tce,5578.00,4.484,0.9360,291.418330,42.579819,14.792
1105,6786348,K01749.01,Kepler-947 b,CONFIRMED,CANDIDATE,1.0000,26.964501000,145.3442600,0,0.0060,3.79200,6.0170e+02,0.022247,4.45566,LS+MCMC,2.20,0.1773,89.99,573.0,25.56,20.10,1,54,1,q1_q17_dr25_tce,5754.00,4.534,0.9050,294.366730,42.252682,15.789
1106,6209677,K01750.01,Kepler-948 b,CONFIRMED,CANDIDATE,0.9990,7.768456390,138.0660200,0,0.3530,3.68900,2.1780e+02,0.013457,1.12282,LS+MCMC,1.35,0.0749,88.68,841.0,118.09,23.60,2,173,1,q1_q17_dr25_tce,5447.00,4.481,0.9170,293.300230,41.523338,14.800
1107,9641018,K01504.01,,FALSE POSITIVE,FALSE POSITIVE,0.0000,2.178154348,134.2030590,0,1.2100,3.48740,4.2860e+02,0.230970,0.01704,LS+MCMC,22.22,0.0313,41.78,1392.0,886.88,93.00,1,616,1,q1_q17_dr25_tce,5947.00,4.482,0.8810,288.014860,46.348949,14.070
1108,9813499,K01505.01,Kepler-868 b,CONFIRMED,CANDIDATE,1.0000,5.032570090,137.3263800,0,0.9700,4.21300,4.3910e+02,0.025553,0.02428,LS+MCMC,2.53,0.0575,72.30,1047.0,283.49,26.30,1,264,1,q1_q17_dr25_tce,5970.00,4.521,0.9080,282.363490,46.675240,15.695
1109,12254792,K01506.01,Kepler-869 b,CONFIRMED,CANDIDATE,1.0000,40.428667600,139.5063100,0,0.8720,7.10200,9.1610e+02,0.032104,0.16081,LS+MCMC,2.92,0.2244,87.92,494.0,14.08,40.90,1,35,1,q1_q17_dr25_tce,5813.00,4.561,0.8330,289.424590,50.994122,14.982
1110,12020218,K01507.01,Kepler-870 b,CONFIRMED,CANDIDATE,1.0000,21.358823600,135.0702200,0,0.0920,5.82300,6.4010e+02,0.023225,0.96612,LS+MCMC,2.52,0.1539,89.81,691.0,53.89,33.20,1,64,1,q1_q17_dr25_tce,6170.00,4.472,0.9920,295.402530,50.478630,15.259
1111,7690844,K01508.01,Kepler-871 b,CONFIRMED,CANDIDATE,1.0000,22.045916300,136.4754800,0,0.8370,5.22000,8.0480e+02,0.029390,0.28320,LS+MCMC,3.05,0.1572,87.53,640.0,39.69,29.70,1,61,1,q1_q17_dr25_tce,5900.00,4.509,0.9510,294.527130,43.368160,15.689
1112,9535080,K01509.01,,FALSE POSITIVE,FALSE POSITIVE,0.0010,49.645623500,153.0806000,0,1.2360,23.56800,8.5750e+02,0.266267,0.00074,LS+MCMC,43.41,0.2726,74.36,648.0,41.57,176.50,1,27,1,q1_q17_dr25_tce,6273.00,4.129,1.4930,295.263490,46.148022,12.385
1113,5438099,K01567.03,Kepler-306 d,CONFIRMED,CANDIDATE,1.0000,17.326704450,360.5083000,0,0.7560,4.26900,8.0000e+02,0.028301,0.63867,LS+MCMC,2.23,0.1203,88.00,535.0,19.38,34.80,4,67,2,q1_q17_dr25_tce,4955.00,4.610,0.7210,288.538670,40.616150,15.565
1114,5438099,K01567.04,Kepler-306 e,CONFIRMED,CANDIDATE,0.9990,44.841116800,359.8735900,0,0.8640,5.90200,1.0516e+03,0.034889,0.34096,LS+MCMC,2.75,0.2268,88.50,390.0,5.45,28.90,4,20,4,q1_q17_dr25_tce,4955.00,4.610,0.7210,288.538670,40.616150,15.565
1115,5210475,K01568.01,,FALSE POSITIVE,FALSE POSITIVE,0.0000,1.008917105,354.8592600,0,0.5450,1.45770,3.3850e+02,0.017433,1.81285,LS+MCMC,1.51,0.0188,83.20,1636.0,1698.88,34.20,1,1122,1,q1_q17_dr25_tce,5708.00,4.578,0.7950,297.503850,40.342972,15.360
1116,8009350,K01569.01,Kepler-892 b,CONFIRMED,CANDIDATE,1.0000,13.752078510,143.0324100,0,0.8360,2.88310,1.2156e+03,0.036806,1.11872,LS+MCMC,2.81,0.1015,87.86,556.0,22.57,36.80,1,98,1,q1_q17_dr25_tce,4802.00,4.616,0.6990,283.129640,43.888241,15.587
1117,8082001,K01570.01,Kepler-893 b,CONFIRMED,CANDIDATE,1.0000,6.338559460,354.8510400,0,0.9070,3.46170,7.2170e+02,0.029391,0.15324,LS+MCMC,3.31,0.0699,82.42,1034.0,270.47,57.40,1,174,1,q1_q17_dr25_tce,6108.00,4.466,1.0300,284.963040,43.913010,15.182
1118,9017682,K01630.01,,CANDIDATE,CANDIDATE,0.9880,11.305079840,138.1363800,0,0.1950,3.98900,2.7840e+02,0.015211,1.48762,LS+MCMC,1.40,0.0964,89.48,744.0,72.67,19.50,1,116,1,q1_q17_dr25_tce,5705.00,4.556,0.8440,290.259640,45.388409,15.152
1119,9277896,K01632.01,Kepler-915 b,CONFIRMED,CANDIDATE,1.0000,4.594898160,133.8399500,0,0.9530,3.13810,1.0970e+02,0.012245,0.05482,LS+MCMC,1.85,0.0566,76.00,1319.0,716.65,27.70,1,291,1,q1_q17_dr25_tce,6056.00,4.217,1.3810,290.592070,45.737141,13.298
1120,9401997,K01633.01,Kepler-916 b,CONFIRMED,CANDIDATE,0.9770,32.296427500,138.5261500,0,0.2070,4.56100,4.7220e+02,0.019489,2.85696,LS+MCMC,1.90,0.1885,89.78,503.0,15.14,17.90,1,43,1,q1_q17_dr25_tce,5246.00,4.470,0.8910,290.983310,45.973301,15.200
1121,10686864,K01637.01,Kepler-917 b,CONFIRMED,CANDIDATE,1.0000,2.970418010,133.3913600,0,0.3790,2.23690,5.3070e+02,0.020967,1.92074,LS+MCMC,1.70,0.0378,87.75,991.0,228.11,22.40,1,362,1,q1_q17_dr25_tce,5068.00,4.608,0.7430,299.051270,47.949280,15.759
1122,10749128,K01639.02,,CANDIDATE,CANDIDATE,,9.982403600,133.4485500,0,0.8093,1.09000,8.3900e+01,0.009376,14.25786,MCMC,1.17,0.0935,88.81,966.0,205.65,5.40,2,,,,6273.00,4.364,1.1390,297.900450,48.094700,13.538
1123,11904734,K01764.01,,CANDIDATE,CANDIDATE,1.0000,12.681733929,132.6825190,0,0.9290,1.68660,5.8791e+03,0.094651,4.31857,LS+MCMC,7.25,0.0935,88.40,601.0,30.84,102.80,1,78,1,q1_q17_dr25_tce,4976.00,4.577,0.7010,286.052800,50.256592,15.303
1124,8043714,K01765.01,,FALSE POSITIVE,FALSE POSITIVE,0.0000,6.814984472,134.2123910,0,0.7930,3.05409,2.3915e+04,0.158900,1.22440,LS+MCMC,14.18,0.0679,86.85,836.0,115.58,742.20,1,179,1,q1_q17_dr25_tce,5465.00,4.566,0.8170,296.660860,43.816441,15.981
1125,7918217,K01770.01,,FALSE POSITIVE,FALSE POSITIVE,0.0000,63.935496500,162.8465700,0,1.2000,13.32100,1.2506e+03,0.247961,0.00934,LS+MCMC,2637.60,0.3716,84.55,2590.0,10631.01,57.60,1,22,1,q1_q17_dr25_tce,3626.00,0.684,97.4100,299.602020,43.695995,10.880
1126,10153011,K01773.01,,CANDIDATE,CANDIDATE,0.0000,83.097080210,162.9357430,0,0.9930,9.26390,1.5860e+04,0.199089,0.26862,LS+MCMC,13.83,0.3188,88.77,329.0,2.78,277.20,1,14,1,q1_q17_dr25_tce,5286.00,4.627,0.6360,296.088200,47.142891,15.678
1127,9631995,K00022.01,Kepler-422 b,CONFIRMED,CANDIDATE,0.9880,7.891448838,177.2499624,0,0.3060,4.28540,1.0345e+04,0.093464,0.98147,LS+MCMC,12.63,0.0813,88.81,1028.0,263.54,1955.10,1,169,1,q1_q17_dr25_tce,5972.00,4.313,1.2370,282.629670,46.323360,13.435
1128,11870545,K01510.01,,CANDIDATE,CANDIDATE,1.0000,0.839961456,178.3540000,0,0.5480,1.30080,4.9290e+02,0.020846,2.14991,LS+MCMC,1.63,0.0160,82.69,1455.0,1066.37,35.10,1,1554,1,q1_q17_dr25_tce,4932.00,4.618,0.7180,295.084230,50.114609,15.929
1129,7901948,K01511.01,Kepler-872 b,CONFIRMED,CANDIDATE,1.0000,2.578852119,133.2237000,0,0.6250,2.35810,3.3430e+02,0.017525,0.87558,LS+MCMC,1.63,0.0362,84.69,1230.0,540.56,36.70,1,524,1,q1_q17_dr25_tce,5743.00,4.553,0.8530,295.417450,43.605640,15.106
1130,11955499,K01512.01,,FALSE POSITIVE,FALSE POSITIVE,0.0000,9.041891290,137.8661100,0,0.9670,2.78900,7.8340e+02,0.035901,0.18309,LS+MCMC,3.24,0.0829,84.00,729.0,66.83,34.50,1,119,1,q1_q17_dr25_tce,5237.00,4.572,0.8260,286.887510,50.377071,14.880
1131,6442377,K00176.01,Kepler-483 b,CONFIRMED,CANDIDATE,1.0000,30.229102740,134.5208100,0,0.7700,6.67510,4.4340e+02,0.021046,0.25832,LS+MCMC,3.49,0.2072,88.10,755.0,76.88,71.70,1,46,1,q1_q17_dr25_tce,6325.00,4.188,1.5180,291.646760,41.884659,13.432
1132,9784222,K01513.01,,FALSE POSITIVE,FALSE POSITIVE,0.0000,0.798200403,133.9620790,0,1.1930,1.82610,3.9680e+02,0.213426,0.08297,LS+MCMC,24.03,0.0173,32.10,2128.0,4875.01,65.90,1,1336,1,q1_q17_dr25_tce,6258.00,4.449,1.0310,296.988530,46.596882,14.613
1133,5376836,K00182.01,,FALSE POSITIVE,FALSE POSITIVE,0.8760,3.479425638,136.7971720,0,0.6120,3.44790,1.9550e+04,0.134097,0.63546,LS+MCMC,12.86,0.0439,85.26,1166.0,435.85,123.30,1,306,1,q1_q17_dr25_tce,5907.00,4.519,0.8780,295.671300,40.599060,14.041
1134,5557821,K01571.01,,FALSE POSITIVE,FALSE POSITIVE,0.0010,2.928787040,356.2869900,0,1.2120,4.63400,5.4940e+02,0.236028,0.01067,LS+MCMC,22.76,0.0397,44.23,1239.0,556.77,47.70,1,387,1,q1_q17_dr25_tce,5955.00,4.534,0.8830,297.829440,40.706779,15.148
1135,10004519,K01572.01,Kepler-894 b,CONFIRMED,CANDIDATE,1.0000,9.803211430,363.9868600,0,0.6630,4.46170,8.1340e+02,0.027603,0.45345,LS+MCMC,2.99,0.0916,87.12,896.0,152.12,53.10,1,118,1,q1_q17_dr25_tce,6170.00,4.472,0.9920,288.734070,46.939388,15.439
1136,5031857,K01573.01,Kepler-1755 b,CONFIRMED,CANDIDATE,1.0000,24.810972060,156.5069710,0,0.0390,3.22450,2.0908e+03,0.041991,7.04712,LS+MCMC,4.22,0.1668,89.96,631.0,37.43,123.90,2,53,1,q1_q17_dr25_tce,6086.00,4.511,0.9210,296.846160,40.138611,14.373
1137,5031857,K01573.02,,CANDIDATE,CANDIDATE,1.0000,7.136922000,131.7531700,0,0.0720,2.80050,2.2160e+02,0.013676,2.83713,LS+MCMC,1.38,0.0727,89.79,956.0,197.05,23.70,2,186,2,q1_q17_dr25_tce,6086.00,4.511,0.9210,296.846160,40.138611,14.373
1138,10879038,K01641.01,Kepler-918 b,CONFIRMED,CANDIDATE,0.9860,4.853840400,135.0990200,0,0.9430,3.19800,1.9640e+02,0.016263,0.07371,LS+MCMC,1.72,0.0569,77.94,1052.0,288.70,15.40,1,219,1,q1_q17_dr25_tce,5778.00,4.483,0.9680,298.200710,48.267841,14.971
1139,10990917,K01643.01,Kepler-919 b,CONFIRMED,CANDIDATE,0.9960,11.046053650,136.4405600,0,0.0640,4.79900,3.0830e+02,0.016086,0.88069,LS+MCMC,1.80,0.0981,89.79,869.0,134.66,24.30,1,96,1,q1_q17_dr25_tce,6093.00,4.429,1.0250,298.114780,48.494400,14.681
1140,11043136,K01644.01,,FALSE POSITIVE,FALSE POSITIVE,0.0000,2.621706694,131.8822700,0,1.2790,1.94100,4.5720e+03,0.360488,0.33657,LS+MCMC,34.68,0.0342,75.07,1288.0,648.75,24.30,1,158,1,q1_q17_dr25_tce,5749.00,4.436,0.8810,297.381530,48.565041,15.399
1141,11046025,K01646.01,Kepler-1759 b,CONFIRMED,CANDIDATE,1.0000,3.720207080,133.4168400,0,0.3410,1.89200,1.5690e+02,0.011348,4.00992,LS+MCMC,0.99,0.0429,88.63,954.0,195.70,15.00,1,285,1,q1_q17_dr25_tce,5017.00,4.516,0.7970,298.465790,48.559410,14.293
1142,5771719,K00190.01,,FALSE POSITIVE,FALSE POSITIVE,0.0000,12.264867364,139.3049990,0,0.8180,4.73660,1.1311e+04,0.110513,0.41518,LS+MCMC,28.29,0.1135,86.85,1077.0,317.89,560.20,1,84,1,q1_q17_dr25_tce,5372.00,3.810,2.3440,284.648860,41.015018,14.137
1143,9729691,K01751.01,Kepler-949 b,CONFIRMED,CANDIDATE,1.0000,8.689301216,133.6612840,0,0.0290,2.56300,1.1170e+03,0.029843,4.75215,LS+MCMC,2.92,0.0774,89.94,782.0,88.24,70.90,2,126,1,q1_q17_dr25_tce,5211.00,4.447,0.8950,298.607880,46.453678,14.548
1144,9729691,K01751.02,Kepler-949 c,CONFIRMED,CANDIDATE,0.0000,20.997579680,132.0568900,0,0.2770,2.45400,1.1318e+03,0.030358,11.72011,LS+MCMC,2.97,0.1394,89.76,582.0,27.20,44.70,2,51,2,q1_q17_dr25_tce,5211.00,4.447,0.8950,298.607880,46.453678,14.548
1145,4950232,K01753.01,,FALSE POSITIVE,FALSE POSITIVE,0.0010,0.979442525,132.4229700,0,0.3880,1.03480,4.6930e+02,0.020166,6.35369,LS+MCMC,1.64,0.0181,86.76,1567.0,1420.01,27.00,1,1158,1,q1_q17_dr25_tce,5532.00,4.607,0.7450,298.140530,40.073872,15.747
1146,10904857,K00194.01,Kepler-488 b,CONFIRMED,CANDIDATE,0.8020,3.120828136,139.4665940,0,0.7840,2.18780,1.6456e+04,0.130153,1.37644,LS+MCMC,14.16,0.0428,84.95,1303.0,680.79,113.50,1,435,1,q1_q17_dr25_tce,6122.00,4.471,0.9960,282.966160,48.345070,14.804
1147,8651389,K01754.01,Kepler-1768 b,CONFIRMED,CANDIDATE,0.9920,15.135904530,146.5837100,0,0.4600,2.23600,2.5570e+02,0.014946,8.46929,LS+MCMC,2.57,0.1286,89.44,933.0,179.16,19.80,1,88,1,q1_q17_dr25_tce,6050.00,4.137,1.5720,299.957210,44.771889,13.964
1148,9520668,K01514.01,,FALSE POSITIVE,FALSE POSITIVE,0.0000,1.399326503,133.6142600,0,0.0090,1.83050,2.0640e+02,0.012581,2.02693,LS+MCMC,1.00,0.0220,89.92,1143.0,402.58,22.70,1,963,1,q1_q17_dr25_tce,4502.00,4.572,0.7280,289.321010,46.134319,15.447
1149,7871954,K01515.01,Kepler-303 b,CONFIRMED,CANDIDATE,0.8890,1.937029968,134.7210700,0,0.1050,1.47270,3.1230e+02,0.016332,5.31084,LS+MCMC,0.87,0.0242,89.41,802.0,97.94,42.80,2,688,1,q1_q17_dr25_tce,4042.00,4.761,0.4900,283.135470,43.657051,14.390
1150,7871954,K01515.02,Kepler-303 c,CONFIRMED,CANDIDATE,0.9910,7.061173220,136.2734400,0,0.8450,1.04060,4.8170e+02,0.022906,10.14331,LS+MCMC,1.23,0.0574,88.38,521.0,17.41,27.20,2,172,2,q1_q17_dr25_tce,4042.00,4.761,0.4900,283.135470,43.657051,14.390
1151,12418724,K01516.01,Kepler-873 b,CONFIRMED,CANDIDATE,1.0000,20.553314410,139.5613000,0,0.7950,5.31360,6.7830e+02,0.026301,0.31624,LS+MCMC,3.19,0.1542,87.62,749.0,74.49,40.60,1,66,1,q1_q17_dr25_tce,6325.00,4.409,1.1120,296.403200,51.271339,14.829
1152,7456001,K01517.01,Kepler-874 b,CONFIRMED,CANDIDATE,1.0000,40.068671300,151.8090100,0,0.0290,5.88750,9.7090e+02,0.028574,1.80017,LS+MCMC,3.10,0.2234,89.97,560.0,23.27,62.00,1,33,1,q1_q17_dr25_tce,6026.00,4.411,0.9920,294.956850,43.014332,14.683
1153,10028792,K01574.01,Kepler-87 b,CONFIRMED,CANDIDATE,1.0000,114.736580000,165.1506710,0,0.5950,12.03550,4.8500e+03,0.066170,0.38451,LS+MCMC,12.28,0.4572,89.47,476.0,12.13,230.60,4,11,1,q1_q17_dr25_tce,5597.00,3.963,1.6990,297.916870,46.965130,14.600
1154,10028792,K01574.02,Kepler-87 c,CONFIRMED,CANDIDATE,0.0000,191.239133000,286.2203400,0,0.8760,16.94200,1.0612e+03,0.034854,0.05543,LS+MCMC,6.47,0.6428,88.94,401.0,6.14,36.80,4,4,2,q1_q17_dr25_tce,5597.00,3.963,1.6990,297.916870,46.965130,14.600
1155,10028792,K01574.03,,CANDIDATE,CANDIDATE,0.9520,5.833938570,132.6342600,0,0.3980,4.58130,1.3440e+02,0.010694,0.41384,LS+MCMC,1.98,0.0628,87.48,1285.0,642.83,17.60,4,184,3,q1_q17_dr25_tce,5597.00,3.963,1.6990,297.916870,46.965130,14.600
1156,5553652,K01575.01,,FALSE POSITIVE,FALSE POSITIVE,0.0000,24.328225100,141.0514900,0,4.4260,6.15800,1.1206e+03,3.451933,0.10913,LS+MCMC,294.02,0.1566,72.91,520.0,17.33,26.40,1,56,1,q1_q17_dr25_tce,5286.00,4.590,0.7800,296.991910,40.758911,15.952
1157,5299459,K01576.01,Kepler-307 b,CONFIRMED,CANDIDATE,1.0000,10.415726660,143.0477400,0,0.6820,2.77190,8.2530e+02,0.027890,1.88209,LS+MCMC,3.01,0.0917,88.23,797.0,95.64,69.30,3,132,1,q1_q17_dr25_tce,5511.00,4.426,0.9870,297.795140,40.417709,14.072
1158,11153121,K01647.01,Kepler-313 b,CONFIRMED,CANDIDATE,0.9990,14.970316640,134.5050700,0,0.3520,5.88400,2.9050e+02,0.015631,0.53698,LS+MCMC,2.53,0.1215,88.91,883.0,143.33,28.90,3,70,1,q1_q17_dr25_tce,5726.00,4.123,1.4830,298.294950,48.775459,14.167
1159,11153121,K01647.02,Kepler-313 c,CONFIRMED,CANDIDATE,0.9870,32.275385300,149.0460000,0,0.6080,8.62200,2.2390e+02,0.014240,0.22738,LS+MCMC,2.31,0.2027,88.50,683.0,51.50,17.90,3,30,2,q1_q17_dr25_tce,5726.00,4.123,1.4830,298.294950,48.775459,14.167
1160,11153121,K01647.03,,CANDIDATE,CANDIDATE,,6.330274760,133.8621300,0,0.3288,3.67000,8.9200e+01,0.008710,0.94065,MCMC,1.02,0.0662,88.24,1046.0,283.31,9.80,3,153,3,q1_q17_dr24_tce,5900.00,4.363,1.0700,298.294950,48.775459,14.167
1161,11177543,K01648.01,Kepler-1760 b,CONFIRMED,CANDIDATE,0.9940,38.326223700,142.0840100,0,0.9630,3.07300,3.9210e+02,0.024640,0.47745,LS+MCMC,2.43,0.2084,88.34,480.0,12.56,15.00,1,28,1,q1_q17_dr25_tce,5229.00,4.441,0.9030,284.132630,48.825119,14.310
1162,11337141,K01649.01,Kepler-1761 b,CONFIRMED,CANDIDATE,0.9920,4.043552450,131.6299500,0,0.9840,1.96500,4.1620e+02,0.030112,0.13614,LS+MCMC,1.75,0.0413,78.42,613.0,33.34,21.20,1,265,1,q1_q17_dr25_tce,3871.00,4.744,0.5320,284.132870,49.142609,14.963
1163,6705142,K01758.01,,CANDIDATE,CANDIDATE,1.0000,5.597282490,131.8670800,0,0.4730,1.79500,1.4073e+03,0.034955,6.37479,LS+MCMC,3.28,0.0608,88.76,930.0,176.53,30.80,1,200,1,q1_q17_dr25_tce,5610.00,4.551,0.8580,295.434360,42.166321,15.969
1164,3967760,K01760.01,Kepler-317 b,CONFIRMED,CANDIDATE,0.6770,5.524186250,135.6230600,0,0.4920,2.82600,4.9100e+02,0.020550,1.48079,LS+MCMC,2.25,0.0583,87.89,976.0,214.86,20.70,2,194,1,q1_q17_dr25_tce,5334.00,4.372,1.0040,294.943880,39.032059,15.377
1165,3967760,K01760.02,Kepler-317 c,CONFIRMED,CANDIDATE,0.9720,8.775147820,133.7031900,0,0.5040,3.17600,3.5190e+02,0.017427,1.60022,LS+MCMC,1.91,0.0794,88.45,837.0,115.84,12.70,2,119,2,q1_q17_dr25_tce,5334.00,4.372,1.0040,294.943880,39.032059,15.377
1166,4067336,K01761.01,,FALSE POSITIVE,FALSE POSITIVE,1.0000,10.127422740,135.2650400,0,0.6960,1.27620,9.3350e+02,0.029978,18.01787,LS+MCMC,3.80,0.0983,89.13,969.0,208.77,19.50,1,102,1,q1_q17_dr25_tce,6392.00,4.399,1.1620,294.146820,39.127060,15.623
1167,5387843,K01762.01,,FALSE POSITIVE,FALSE POSITIVE,0.4060,0.870693883,132.0839490,0,0.8320,1.21370,4.3850e+02,0.021683,0.95722,LS+MCMC,2.09,0.0175,75.72,1876.0,2923.54,55.60,1,1533,1,q1_q17_dr25_tce,5985.00,4.519,0.8830,298.133910,40.530289,14.996
1168,7549209,K01518.01,Kepler-875 b,CONFIRMED,CANDIDATE,1.0000,27.507111400,151.8477500,0,0.9180,5.90700,5.8070e+02,0.026833,0.11046,LS+MCMC,2.58,0.1771,86.79,569.0,24.71,30.70,1,48,1,q1_q17_dr25_tce,5783.00,4.539,0.8800,297.301300,43.141891,15.219
1169,7663405,K01519.01,Kepler-876 b,CONFIRMED,CANDIDATE,1.0000,5.144364500,133.8304400,0,0.0310,2.70300,3.1070e+02,0.015692,2.30549,LS+MCMC,1.55,0.0549,89.88,923.0,171.63,20.20,2,261,1,q1_q17_dr25_tce,5157.00,4.445,0.9040,283.478180,43.383781,15.369
1170,9765975,K01520.01,Kepler-877 b,CONFIRMED,CANDIDATE,1.0000,18.458483880,138.1635000,0,0.8320,3.37030,5.3530e+02,0.024147,0.86583,LS+MCMC,2.50,0.1301,88.09,632.0,37.81,41.50,1,73,1,q1_q17_dr25_tce,5311.00,4.419,0.9480,289.859130,46.522671,14.516
1171,9818462,K01521.01,Kepler-878 b,CONFIRMED,CANDIDATE,1.0000,25.942158200,156.1889400,0,0.5770,4.04500,5.6970e+02,0.022458,1.98748,LS+MCMC,1.95,0.1650,89.20,501.0,14.85,31.60,1,50,1,q1_q17_dr25_tce,5167.00,4.585,0.7960,285.296200,46.603439,14.817
1172,6803202,K00177.01,Kepler-1711 b,CONFIRMED,CANDIDATE,1.0000,21.060753030,143.5998300,0,0.1760,5.24720,3.0120e+02,0.015768,1.23168,LS+MCMC,1.78,0.1463,89.67,669.0,47.39,54.40,1,65,1,q1_q17_dr25_tce,5706.00,4.382,1.0340,298.177220,42.237041,13.182
1173,5299459,K01576.02,Kepler-307 c,CONFIRMED,CANDIDATE,1.0000,13.084242860,132.6312900,0,0.7010,3.04010,6.6200e+02,0.025138,1.64444,LS+MCMC,2.71,0.1068,88.37,739.0,70.51,51.20,3,102,2,q1_q17_dr25_tce,5511.00,4.426,0.9870,297.795140,40.417709,14.072
1174,9651668,K00183.01,Kepler-423 b,CONFIRMED,CANDIDATE,0.9950,2.684328541,133.3548095,0,0.0760,2.69382,1.8136e+04,0.121923,1.63862,LS+MCMC,12.73,0.0360,89.49,1265.0,603.57,2833.10,1,501,1,q1_q17_dr25_tce,5561.00,4.411,0.9560,292.855740,46.391178,14.290
1175,5299459,K01576.03,,CANDIDATE,CANDIDATE,,23.339795600,146.3627000,0,0.4757,1.92300,1.2510e+02,0.010418,19.62615,MCMC,1.23,0.1590,89.95,653.0,43.02,4.50,3,,,,5671.00,4.360,1.0840,297.795140,40.417709,14.072
